Learning Care Group - Official,,,,,
,,,,,
Recommendations for your workload,,,,,
Your overall results,Critical,'26/120',,,
Reliability,Critical,'18/200',,,
Security,Moderate,'38/100',,,
Cost Optimization,Critical,'13/100',,,
Operational Excellence,Moderate,'36/100',,,
Performance Efficiency,Critical,'25/101',,,
,,,,,
Next Steps,,,,,
Learn about discounts.,https://learn.microsoft.com/azure/well-architected/cost-optimization/get-best-rates#evaluate-and-commit-to-available-discounts,,,,
Learn about data classification.,https://learn.microsoft.com/azure/well-architected/security/data-classification#define-the-classification-scope,,,,
Learn about safe deployment practices.,https://learn.microsoft.com/azure/well-architected/operational-excellence/safe-deployments#key-design-strategies,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Reliability,"RE:04 - Define healthy, degraded, and unhealthy states.",https://learn.microsoft.com/azure/well-architected/reliability/metrics#building-a-health-model,High,RE:04,,80,,N,
Reliability,RE:01 - Strive for simplicity and clarity.,https://learn.microsoft.com/azure/well-architected/reliability/simplify#key-design-strategies,High,RE:01,,75,,N,
Reliability,RE:08 - Perform fault injection testing.,https://learn.microsoft.com/azure/well-architected/reliability/testing-strategy#fault-injection-and-chaos-engineering-guidance,High,RE:08,,75,,N,
Reliability,RE:02 - Identify all user and system flows of your workload.,https://learn.microsoft.com/azure/well-architected/reliability/identify-flows#identify-all-user-and-system-flows,High,RE:02,,75,,N,
Reliability,RE:10 - Monitor the health state of all flows.,https://learn.microsoft.com/azure/well-architected/reliability/monitoring-alerting-strategy#key-design-strategies,High,RE:10,,75,,N,
Reliability,RE:05 - Design redundancy to meet reliability targets.,https://learn.microsoft.com/azure/well-architected/reliability/redundancy#key-design-strategies,High,RE:05,,75,,N,
Reliability,RE:03 - Identify all failure modes for each workload component.,https://learn.microsoft.com/azure/well-architected/reliability/failure-mode-analysis#failure-points,High,RE:03,,75,,N,
Reliability,RE:04 - Define recovery targets.,https://learn.microsoft.com/azure/well-architected/reliability/metrics#recovery-metrics,High,RE:04,,75,,N,
Reliability,RE:09 - Define recovery processes.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,High,RE:09,,75,,N,
Reliability,RE:07 - Make your workload resilient to transient faults.,https://learn.microsoft.com/azure/well-architected/reliability/handle-transient-faults#key-design-strategies,High,RE:07,,70,,N,
Reliability,"RE:07 - Degrade gracefully. ",https://learn.microsoft.com/azure/well-architected/reliability/self-preservation#application-design-guidance-and-patterns-1,High,RE:07,,70,,N,
Reliability,RE:09 - Conduct disaster recovery drills.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#conduct-disaster-recovery-drills,Medium,RE:09,,65,,N,
Reliability,RE:01 - Abstract infrastructure away from domain logic.,https://learn.microsoft.com/azure/well-architected/reliability/simplify#additional-design-recommendations,Medium,RE:01,,65,,N,
Reliability,RE:05 - Use built-in platform capabilities for compute redundancy.,https://learn.microsoft.com/azure/well-architected/reliability/redundancy#compute-resources,Medium,RE:05,,65,,N,
Reliability,RE:09 - Define what constitutes a disaster.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,Medium,RE:09,,65,,N,
Reliability,RE:07 - Use infrastructure and application design patterns.,https://learn.microsoft.com/azure/well-architected/reliability/self-preservation#self-preservation-guidance,Medium,RE:07,,65,,N,
Reliability,"RE:04 - Build a health model. ",https://learn.microsoft.com/azure/well-architected/reliability/metrics#building-a-health-model,Medium,RE:04,,65,,N,
Reliability,RE:03 - Identify the effect of failure on a workload.,https://learn.microsoft.com/azure/well-architected/reliability/failure-mode-analysis#outcome,Medium,RE:03,,60,,N,
Reliability,RE:07 - Decouple services.,https://learn.microsoft.com/azure/well-architected/reliability/self-preservation#application-design-guidance-and-patterns,Medium,RE:07,,60,,N,
Reliability,RE:02 - Identify the business impact of each flow.,https://learn.microsoft.com/azure/well-architected/reliability/identify-flows#identify-business-impact-of-each-flow,Medium,RE:02,,60,,N,
Reliability,RE:06 - Understand the relationship of the flow's components for scaling.,https://learn.microsoft.com/azure/well-architected/reliability/scaling#key-design-strategies,Medium,RE:06,,60,,N,
